transcription,hypothesis,confusion,score
i need to book a restaurant in fork mountain  sc for valarie  mari and i,i need to be a good restaurant insult mountainous <unk>,i i ; need need ; to to ; book be ; a a ; restaurant <eps> ; in <eps> ; fork <eps> ; mountain <eps> ; sc <eps> ; for good ; valarie restaurant ; mari insult ; and mountainous ; i <unk>,1.0
add to playlist confidence boost here comes santa claus,i took platelets confidence boost here comes santa cruz,add i ; to took ; playlist platelets ; confidence confidence ; boost boost ; here here ; comes comes ; santa santa ; claus cruz,1.0
book a restaurant at sixteen o clock in sc,book a restaurant at sixteen o clock in s c,book book ; a a ; restaurant restaurant ; at at ; sixteen sixteen ; o o ; clock clock ; in in ; <eps> s ; sc c,1.0
add another artist to the spotlight on country 2016 playlist,add another artist to the spotlight on country twenty sixteen play list,add add ; another another ; artist artist ; to to ; the the ; spotlight spotlight ; on on ; country country ; <eps> twenty ; <eps> sixteen ; 2016 play ; playlist list,1.0
find a movie house showing cage without a key,find a movie house showing cage without to <unk>,find find ; a a ; movie movie ; house house ; showing showing ; cage cage ; without without ; a to ; key <unk>,1.0
add sugarolly days to my list  your favorite slaughterhouse,add sugar ali days to my list your favorite slaughterhouse,add add ; <eps> sugar ; sugarolly ali ; days days ; to to ; my my ; list list ; your your ; favorite favorite ; slaughterhouse slaughterhouse,1.0
show me the picture creatures of light and darkness,showing me the picture creatures of life and do  n't <unk>,show showing ; me me ; the the ; picture picture ; creatures creatures ; of of ; light life ; and and ; <eps> do ; <eps> n't ; darkness <unk>,1.0
search for the adventures of cookie & cream,such for the adventures of cooking cream,search such ; for for ; the the ; adventures adventures ; of of ; cookie <eps> ; & cooking ; cream cream,1.0
add this track to my global funk,at this truck to my global funk,add at ; this this ; track truck ; to to ; my my ; global global ; funk funk,1.0
find animated movies nearest at a movie house,find the animated movies nearest it to a movie house,find find ; <eps> the ; animated animated ; movies movies ; nearest nearest ; <eps> it ; at to ; a a ; movie movie ; house house,1.0
play hell house song,play how how song,play play ; hell how ; house how ; song song,1.0
give this novel 5 stars,give this novel five stars,give give ; this this ; novel novel ; 5 five ; stars stars,1.0
find me showtimes for animated movies in the neighbourhood,find me showtime the animated movies in the neighborhood,find find ; me me ; showtimes showtime ; for the ; animated animated ; movies movies ; in in ; the the ; neighbourhood neighborhood,1.0
find movie times,fine movie dimes,find fine ; movie movie ; times dimes,1.0
play the top-20 best chicane songs on deezer,play the top twenty best she came songs on days,play play ; the the ; <eps> top ; top-20 twenty ; best best ; <eps> she ; chicane came ; songs songs ; on on ; deezer days,1.0
i want to give this current textbook 4 points,i want to give this current textbook full points,i i ; want want ; to to ; give give ; this this ; current current ; textbook textbook ; 4 full ; points points,1.0
add manuelita to my indiespensables playlist,add manually to to my indispensable play list,add add ; <eps> manually ; manuelita to ; to to ; my my ; <eps> indispensable ; indiespensables play ; playlist list,1.0
show movie schedules for douglas theatre company,show movies scheduled for douglas theatre company,show show ; movie movies ; schedules scheduled ; for for ; douglas douglas ; theatre theatre ; company company,1.0
i d like to see the show onion sportsdome,i do like to see the show onion sports do  n't,i i ; d do ; like like ; to to ; see see ; the the ; show show ; onion onion ; <eps> sports ; <eps> do ; sportsdome n't,1.0
i d like to go to the popular bistro in oh,oh i do like to go to the <unk> you know,<eps> oh ; i i ; d do ; like like ; to to ; go go ; to to ; the the ; popular <eps> ; bistro <unk> ; in you ; oh know,1.0
what s the weather in my current spot the day after tomorrow,what  's the weather in my current spot the day after tomorrow,what what ; s 's ; the the ; weather weather ; in in ; my my ; current current ; spot spot ; the the ; day day ; after after ; tomorrow tomorrow,1.0
play playlist the realest down south,play play at least a realist down south,<eps> play ; play play ; <eps> at ; playlist least ; the a ; realest realist ; down down ; south south,1.0
add this artist to gretchen s soul revived playlist,at this artistic gretchen as soul revived play list,add at ; this this ; artist <eps> ; to artistic ; gretchen gretchen ; s as ; soul soul ; revived revived ; <eps> play ; playlist list,1.0
find a video game called victory march,find a video game called victory much,find find ; a a ; video video ; game game ; called called ; victory victory ; march much,1.0
find a novel called industry,find a noble cold industry,find find ; a a ; novel noble ; called cold ; industry industry,1.0
book a taverna that serves vichyssoise within walking distance in oh,well <unk> know that says <unk> within walking distance you know,book well ; a <unk> ; taverna know ; that that ; serves says ; vichyssoise <unk> ; within within ; walking walking ; distance distance ; in you ; oh know,1.0
let me see the movie schedule for seed of chucky,let me see the movie <unk>,let let ; me me ; see see ; the the ; movie movie ; schedule <eps> ; for <eps> ; seed <eps> ; of <eps> ; chucky <unk>,1.0
play a chant by mj cole,play a change by m j call,play play ; a a ; chant change ; by by ; <eps> m ; mj j ; cole call,1.0
what is the weather like in the city of frewen in the country of venezuela,what is the weather like in the city of fruit and in the country of venezuela,what what ; is is ; the the ; weather weather ; like like ; in in ; the the ; city city ; of of ; <eps> fruit ; frewen and ; in in ; the the ; country country ; of of ; venezuela venezuela,1.0
put this song on my playlist  in the name of blues,put these selling on my <unk>,put put ; this these ; song selling ; on on ; my my ; playlist <eps> ; in <eps> ; the <eps> ; name <eps> ; of <eps> ; blues <unk>,1.0
will it be colder in ohio,will it be colder in ohio,will will ; it it ; be be ; colder colder ; in in ; ohio ohio,1.0
rate this album a 1,rape this album or one,rate rape ; this this ; album album ; a or ; 1 one,1.0
in the area find some films,in the area find some films,in in ; the the ; area area ; find find ; some some ; films films,1.0
what times will the young swordsman be showing at a local cinema,well times while they  're young so it  's men be showing us a local cinemax,what well ; times times ; <eps> while ; will they ; the 're ; young young ; <eps> so ; <eps> it ; <eps> 's ; swordsman men ; be be ; showing showing ; at us ; a a ; local local ; cinema cinemax,1.0
book a brasserie for one,but <unk> for one,book <eps> ; a but ; brasserie <unk> ; for for ; one one,1.0
play all of your toys by chris ledoux,play all of your toys by <unk>,play play ; all all ; of of ; your your ; toys toys ; by by ; chris <eps> ; ledoux <unk>,1.0
i want to hear a joel hastings melody,i want to hear a joel hastings melody,i i ; want want ; to to ; hear hear ; a a ; joel joel ; hastings hastings ; melody melody,1.0
i want to book a restaurant not far from our college,i went to a book a restaurant not far from our college,i i ; want went ; to to ; <eps> a ; book book ; a a ; restaurant restaurant ; not not ; far far ; from from ; our our ; college college,1.0
rate in stars as a 6 for lord of the shadows which gets a four,<unk> as a six foot lord of the shadows which gets a full,rate <eps> ; in <eps> ; stars <unk> ; as as ; a a ; 6 six ; for foot ; lord lord ; of of ; the the ; shadows shadows ; which which ; gets gets ; a a ; four full,1.0
add rak biszewilo to my playlist named jazz,<unk> to my play last name jazz,add <eps> ; rak <eps> ; biszewilo <unk> ; to to ; my my ; <eps> play ; playlist last ; named name ; jazz jazz,1.0
rate my current book 1 out of 6,they  'd like i did  n't look run out of six,<eps> they ; <eps> 'd ; <eps> like ; rate i ; my did ; current n't ; book look ; 1 run ; out out ; of of ; 6 six,1.0
what is the weather not far from upper klamath national wildlife refuge,what is the weather not far from <unk> national wildlife refuge,what what ; is is ; the the ; weather weather ; not not ; far far ; from from ; upper <eps> ; klamath <unk> ; national national ; wildlife wildlife ; refuge refuge,1.0
add falling upstairs to the playlist named chill out,i  'd fooling upstairs to the play listening chill out,<eps> i ; add 'd ; falling fooling ; upstairs upstairs ; to to ; the the ; playlist play ; named listening ; chill chill ; out out,1.0
will it storm in charles pinckney national historic site,well it  's storming charles <unk> national historic side,will well ; it it ; storm 's ; in storming ; charles charles ; pinckney <unk> ; national national ; historic historic ; site side,1.0
play techno on lastfm,play techno on last fm,play play ; techno techno ; on on ; <eps> last ; lastfm fm,1.0
add the entire album into indie español,at the entire album into india spaniel,add at ; the the ; entire entire ; album album ; into into ; indie india ; español spaniel,1.0
for the textbook  out of 6 possible i give the following one a 3,for the text book out of six possible i give the following one at three,for for ; the the ; <eps> text ; textbook book ; out out ; of of ; 6 six ; possible possible ; i i ; give give ; the the ; following following ; one one ; a at ; 3 three,1.0
show me the movie schedule for star theatres,show me the movie <unk>,show show ; me me ; the the ; movie movie ; schedule <eps> ; for <eps> ; star <eps> ; theatres <unk>,1.0
please find the movie dancing girl,please find a movie dancing girl,please please ; find find ; the a ; movie movie ; dancing dancing ; girl girl,1.0
rate this book 0 out of 6,read this book zero out of six,rate read ; this this ; book book ; 0 zero ; out out ; of of ; 6 six,1.0
is happy ghost iii at caribbean cinemas,is happy <unk> caribbean cinemas,is is ; happy happy ; ghost <eps> ; iii <eps> ; at <unk> ; caribbean caribbean ; cinemas cinemas,1.0
play theme by yanni on vimeo,play team by yummy on video,play play ; theme team ; by by ; yanni yummy ; on on ; vimeo video,1.0
rate the current novel a 3,right the current novel at three,rate right ; the the ; current current ; novel novel ; a at ; 3 three,1.0
can you pull up a track on zvooq by graham mcpherson,can you pull up a track homes that v o l i q by <unk>,can can ; you you ; pull pull ; up up ; a a ; track track ; <eps> homes ; <eps> that ; <eps> v ; <eps> o ; on l ; zvooq i ; by q ; graham by ; mcpherson <unk>,1.0
find resurrection of evil,find resurrection of fever,find find ; resurrection resurrection ; of of ; evil fever,1.0
find playstation官方杂志  a song,find playstation <unk> song,find find ; playstation官方杂志 playstation ; a <unk> ; song song,1.0
rate the current essay 2 out of 6,right the current essay two out of six,rate right ; the the ; current current ; essay essay ; 2 two ; out out ; of of ; 6 six,1.0
add this album to the playlist called dishwashing,they sell them to the platelets cool dishwashing,add they ; this sell ; album them ; to to ; the the ; playlist platelets ; called cool ; dishwashing dishwashing,1.0
find young miss holmes,find young miss homes,find find ; young young ; miss miss ; holmes homes,1.0
i give christianity not mysterious 1 out of 6 points,i give christianity not mysterious one out of six points,i i ; give give ; christianity christianity ; not not ; mysterious mysterious ; 1 one ; out out ; of of ; 6 six ; points points,1.0
i d like to go to the venetian theatre in gabon  party of seven,i d like to go to the venetian theater and got bone party of seven,i i ; d d ; like like ; to to ; go go ; to to ; the the ; venetian venetian ; <eps> theater ; theatre and ; in got ; gabon bone ; party party ; of of ; seven seven,1.0
is it supposed to rain nearby my current location at 0 o clock,is it supposed to rain nearby current location that zero,is is ; it it ; supposed supposed ; to to ; rain rain ; nearby nearby ; my <eps> ; current current ; location location ; at <eps> ; 0 <eps> ; o that ; clock zero,1.0
give zero / 6 stars to the current album,you have a zero six dollars to the current album,<eps> you ; give have ; zero a ; / zero ; 6 six ; stars dollars ; to to ; the the ; current current ; album album,1.0
put playa fly onto my 2010 decade playlist,put <unk> under my twenty ten decade play list,put put ; playa <unk> ; fly under ; onto my ; my twenty ; 2010 ten ; decade decade ; <eps> play ; playlist list,1.0
show me the painting called fool for love,show me the painting called fool for love,show show ; me me ; the the ; painting painting ; called called ; fool fool ; for for ; love love,1.0
rate what the dog saw a two,right what the dog side too,rate right ; what what ; the the ; dog dog ; saw <eps> ; a side ; two too,1.0
find a video game called a stroll in the pork,find a video game called a stroll in the poor,find find ; a a ; video video ; game game ; called called ; a a ; stroll stroll ; in in ; the the ; pork poor,1.0
add bret mckenzie to my pop commute playlist,i  'd brett mackenzie to my <unk>,<eps> i ; add 'd ; bret brett ; mckenzie mackenzie ; to to ; my my ; pop <eps> ; commute <eps> ; playlist <unk>,1.0
what is the weather supposed to be like in new jersey three months from now,what  's the weather is supposed to be like in new jersey three months from now,what what ; is 's ; the the ; weather weather ; <eps> is ; supposed supposed ; to to ; be be ; like like ; in in ; new new ; jersey jersey ; three three ; months months ; from from ; now now,1.0
find the song called international journal of bilingualism,find the song called international journal bilingualism,find find ; the the ; song song ; called called ; international international ; journal journal ; of <eps> ; bilingualism bilingualism,1.0
what films are playing at goodrich quality theaters,what films are playing a good quality theaters,what what ; films films ; are are ; playing playing ; at a ; goodrich good ; quality quality ; theaters theaters,1.0
i rated the island of adventure saga a 2 of 6,oh right it  'd be <unk> venture soccer a to have six,<eps> oh ; i right ; rated it ; the 'd ; island be ; of <unk> ; adventure venture ; saga soccer ; a a ; 2 to ; of have ; 6 six,1.0
i m looking for the trailer of highlands today,i am looking for the trailer of highlands today,i i ; m am ; looking looking ; for for ; the the ; trailer trailer ; of of ; highlands highlands ; today today,1.0
add this song to my playlist named wild country,at this song to my platelets named wild country,add at ; this this ; song song ; to to ; my my ; playlist platelets ; named named ; wild wild ; country country,1.0
rate the princess mouse: a tale of finland one of 6,right the princess mouse a tailor finland one of six,rate right ; the the ; princess princess ; mouse: mouse ; a a ; tale <eps> ; of tailor ; finland finland ; one one ; of of ; 6 six,1.0
search for police women of cincinnati,search for police women of cincinnati,search search ; for for ; police police ; women women ; of of ; cincinnati cincinnati,1.0
add artist to lo mejor de los 00 s,i doubt as to learn magic to los l o s,<eps> i ; add doubt ; artist as ; to to ; lo learn ; mejor magic ; de to ; los los ; <eps> l ; 00 o ; s s,1.0
i d like johnny nash to be put into my playlist always pop punk,i d like johnny nash to be put into my play list always <unk>,i i ; d d ; like like ; johnny johnny ; nash nash ; to to ; be be ; put put ; into into ; my my ; playlist play ; always list ; pop always ; punk <unk>,1.0
find the they came from somewhere else saga,find that they came from somewhere else saga,find find ; the that ; they they ; came came ; from from ; somewhere somewhere ; else else ; saga saga,1.0
i want to watch the television show naked ii,i want to watch the television show <unk>,i i ; want want ; to to ; watch watch ; the the ; television television ; show show ; naked <eps> ; ii <unk>,1.0
book a reservation for a pub with ma po tofu in moldova,that could reservation for the pub with <unk>,book that ; a could ; reservation reservation ; for for ; a the ; pub pub ; with with ; ma <eps> ; po <eps> ; tofu <eps> ; in <eps> ; moldova <unk>,1.0
show the three tales album,showed that three tails album,show showed ; the that ; three three ; tales tails ; album album,1.0
put this album in shuffle syndrome,put this album and shuffled syndrome,put put ; this this ; album album ; in and ; shuffle shuffled ; syndrome syndrome,1.0
book me seats for 6 at the best brasserie that serves marche neighboring my hostel,book me seats for six at the best <unk> shine they bring my hostile,book book ; me me ; seats seats ; for for ; 6 six ; at at ; the the ; best best ; brasserie <eps> ; that <unk> ; serves shine ; marche they ; neighboring bring ; my my ; hostel hostile,1.0
play caitlin cary from the fourties,play caitlin kerry from the forties,play play ; caitlin caitlin ; cary kerry ; from from ; the the ; fourties forties,1.0
add a track to my hands up playlist,i did track to my hands up <unk>,add i ; a did ; track track ; to to ; my my ; hands hands ; up up ; playlist <unk>,1.0
i d like to see the saga tamagotchi 64: minna de tamagotchi world,i do like to see the saga time ago she sixty four minute atomic she well,i i ; d do ; like like ; to to ; see see ; the the ; saga saga ; <eps> time ; <eps> ago ; <eps> she ; tamagotchi sixty ; 64: four ; minna minute ; de atomic ; tamagotchi she ; world well,1.0
give the search for the snow leopard a rating of zero of 6 stars,give the such for the snow like pay the raising of zeros <unk>,give give ; the the ; search such ; for for ; the the ; snow snow ; leopard <eps> ; a like ; rating pay ; of the ; zero raising ; of of ; 6 zeros ; stars <unk>,1.0
for the book tale of the toa i give five points,for the book tail of the toll i give five points,for for ; the the ; book book ; tale tail ; of of ; the the ; toa toll ; i i ; give give ; five five ; points points,1.0
will it be warmer now in covenant life,well it  'd be warmer now in covenant life,will well ; it it ; <eps> 'd ; be be ; warmer warmer ; now now ; in in ; covenant covenant ; life life,1.0
play rap album one by gene vincent,play rep album one by gene vincent,play play ; rap rep ; album album ; one one ; by by ; gene gene ; vincent vincent,1.0
i want to book the hat for my grandfather and i in arkansas,i went to a book that had from my grandfather and i in arkansas,i i ; want went ; to to ; <eps> a ; book book ; the that ; hat had ; for from ; my my ; grandfather grandfather ; and and ; i i ; in in ; arkansas arkansas,1.0
book a tea place at seven,well <unk> place at seven,book <eps> ; a well ; tea <unk> ; place place ; at at ; seven seven,1.0
find the movie schedule for animated movies around here,find the movie  's schedule for animated movies around here,find find ; the the ; movie movie ; <eps> 's ; schedule schedule ; for for ; animated animated ; movies movies ; around around ; here here,1.0
add rosemary clooney to pura vida playlist,i  'd rosemarie <unk>,add <eps> ; rosemary <eps> ; clooney <eps> ; to i ; pura 'd ; vida rosemarie ; playlist <unk>,1.0
i need a reservation for 6 pm  with a party of 10 at sand lake,i need a reservation for six p m with a <unk>,i i ; need need ; a a ; reservation reservation ; for for ; <eps> six ; 6 p ; pm m ; with with ; a a ; party <eps> ; of <eps> ; 10 <eps> ; at <eps> ; sand <eps> ; lake <unk>,1.0
what is the picture called lest we forget: the best of,what is the <unk> the best uh,what what ; is is ; the the ; picture <eps> ; called <eps> ; lest <eps> ; we <eps> ; forget: <unk> ; the the ; best best ; of uh,1.0
find a photograph called call on me,find a photograph cool cool on me,find find ; a a ; photograph photograph ; called cool ; call cool ; on on ; me me,1.0
add tune to my hype playlist,ah june to my height play list,add ah ; tune june ; to to ; my my ; <eps> height ; hype play ; playlist list,1.0
what films are playing at the nearest movie theatre,what films of playing the nearest movie theater,what what ; films films ; are of ; playing playing ; at <eps> ; the the ; nearest nearest ; movie movie ; theatre theater,1.0
add por una cabeza to my playlist called this is new edition,i had poor <unk> uh to my play list called this is new addition,<eps> i ; add had ; por poor ; una <unk> ; cabeza uh ; to to ; my my ; <eps> play ; playlist list ; called called ; this this ; is is ; new new ; edition addition,1.0
play a scott lafaro soundtrack,play a scott lift borrow soundtrack,play play ; a a ; scott scott ; <eps> lift ; lafaro borrow ; soundtrack soundtrack,1.0
add wastedagain to the wild & free workout playlist,add wasted to get into the wild and free <unk>,add add ; wastedagain wasted ; to to ; <eps> get ; <eps> into ; the the ; wild wild ; & and ; free free ; workout <eps> ; playlist <unk>,1.0
add this track to duetos,hi distracted <unk>,add <eps> ; this <eps> ; track hi ; to distracted ; duetos <unk>,1.0
find an art called cassidy,finding all its cold cassidy,find finding ; an all ; art its ; called cold ; cassidy cassidy,1.0
i want to eat at a pickled cucumber brasserie in 12 months,i want to eat at a pickled cucumber brass hurry and twelve months,i i ; want want ; to to ; eat eat ; at at ; a a ; pickled pickled ; cucumber cucumber ; <eps> brass ; brasserie hurry ; in and ; 12 twelve ; months months,1.0
give this saga a 1,give the saga one,give give ; this the ; saga saga ; a <eps> ; 1 one,1.0
add the song to the dub on the beach playlist,at the song to the job on the beach <unk>,add at ; the the ; song song ; to to ; the the ; dub job ; on on ; the the ; beach beach ; playlist <unk>,1.0
i need a table at the ledbury at 18 o clock,i need a table that delivery at eighteen or cook,i i ; need need ; a a ; table table ; at <eps> ; the that ; ledbury delivery ; at at ; 18 eighteen ; o or ; clock cook,1.0
will it be humid in beedeville on november 20,well it  'd be humid in <unk> on november twenty eight,will well ; it it ; <eps> 'd ; be be ; humid humid ; in in ; beedeville <unk> ; on on ; november november ; <eps> twenty ; 20 eight,1.0
i want to give the canon of medicine one out of 6 stars,i wanted to give the cat enough medicine run out of six does,i i ; want wanted ; to to ; give give ; the the ; canon cat ; of enough ; medicine medicine ; one run ; out out ; of of ; 6 six ; stars does,1.0
play music from 2014,play music from twenty fourteen,play play ; music music ; from from ; <eps> twenty ; 2014 fourteen,1.0
play iheart,play i heart,play play ; <eps> i ; iheart heart,1.0
please look up the falls church news-press album,please look up the falls church news press album,please please ; look look ; up up ; the the ; falls falls ; church church ; <eps> news ; news-press press ; album album,1.0
find a television show called merced sun-star,find a television show called <unk> son star,find find ; a a ; television television ; show show ; called called ; <eps> <unk> ; merced son ; sun-star star,1.0
find the closest movie theatre with films,find the closest movie theater with films,find find ; the the ; closest closest ; movie movie ; theatre theater ; with with ; films films,1.0
can you pull up channel m news,can you pull up channel and news,can can ; you you ; pull pull ; up up ; channel channel ; m and ; news news,1.0
play 2011 music,play twin do you live in music,play play ; <eps> twin ; <eps> do ; <eps> you ; <eps> live ; 2011 in ; music music,1.0
find a song called be quick or be dead,find a song called be quick or be dead,find find ; a a ; song song ; called called ; be be ; quick quick ; or or ; be be ; dead dead,1.0
is live from sturgis 2006 playing at four o clock at the nearest cinema,it  's nice for instead of just two thousand and six paying it for i talk to the nearest send them out,<eps> it ; <eps> 's ; <eps> nice ; <eps> for ; <eps> instead ; <eps> of ; is just ; live two ; from thousand ; sturgis and ; 2006 six ; playing paying ; at it ; four for ; o i ; clock talk ; at to ; the the ; nearest nearest ; <eps> send ; <eps> them ; cinema out,1.0
she me movie times,she mean movie times,she she ; me mean ; movie movie ; times times,1.0
put deep purple on this is jennifer lopez,foot deep purple on this is jennifer lopez,put foot ; deep deep ; purple purple ; on on ; this this ; is is ; jennifer jennifer ; lopez lopez,1.0
what is the weather in sint maarten,what is the weather in saint martin,what what ; is is ; the the ; weather weather ; in in ; sint saint ; maarten martin,1.0
give 5 points to the deathlord of ixia,give five points to the <unk>,give give ; 5 five ; points points ; to to ; the the ; deathlord <eps> ; of <eps> ; ixia <unk>,1.0
which films are playing at malco theatres,which films are playing that mount <unk> theaters,which which ; films films ; are are ; playing playing ; <eps> that ; at mount ; malco <unk> ; theatres theaters,1.0
play lorenzo palacios quispe,<unk>,play <eps> ; lorenzo <eps> ; palacios <eps> ; quispe <unk>,1.0
add this track to the classical music for smart kids playlist,at this track to the classical music for smart kids play list,add at ; this this ; track track ; to to ; the the ; classical classical ; music music ; for for ; smart smart ; kids kids ; <eps> play ; playlist list,1.0
give five out of 6 to this novel,give five out of six to this novel,give give ; five five ; out out ; of of ; 6 six ; to to ; this this ; novel novel,1.0
give two out of 6 to a christmas carol,give two out of six to her at christmas carols,give give ; two two ; out out ; of of ; 6 six ; to to ; <eps> her ; a at ; christmas christmas ; carol carols,1.0
show movie schedules,show movies schedules,show show ; movie movies ; schedules schedules,1.0
find me the picture entitled i’ll take care of you,find me the picture entitled i  'll take care of you,find find ; me me ; the the ; picture picture ; entitled entitled ; <eps> i ; i’ll 'll ; take take ; care care ; of of ; you you,1.0
give this textbook zero out of 6 points,give this textbooks zero out of six points,give give ; this this ; textbook textbooks ; zero zero ; out out ; of of ; 6 six ; points points,1.0
weather for close-by parc national de kolkheti,weatherford close by park national <unk>,weather weatherford ; for close ; close-by by ; parc park ; national national ; de <eps> ; kolkheti <unk>,1.0
i d like a table in a smoking room in a taverna on sep  23  2023,i d like a table and the smoking room in it to burn on september twenty third twenty twenty three,i i ; d d ; like like ; a a ; table table ; in and ; a the ; smoking smoking ; room room ; in in ; <eps> it ; a to ; taverna burn ; on on ; <eps> september ; <eps> twenty ; <eps> third ; sep twenty ; 23 twenty ; 2023 three,1.0
i give it a rating value of four to 6 to a book called liberalism and the limits of justice,i give it a rating value of four to six to a book called liberalism and the limits of justice,i i ; give give ; it it ; a a ; rating rating ; value value ; of of ; four four ; to to ; 6 six ; to to ; a a ; book book ; called called ; liberalism liberalism ; and and ; the the ; limits limits ; of of ; justice justice,1.0
add om to my classic punk,i do  n't do my classic punks,<eps> i ; add do ; om n't ; to do ; my my ; classic classic ; punk punks,1.0
rate the current novel 0 of 6,right the carnival zero six,rate right ; the the ; current <eps> ; novel <eps> ; 0 carnival ; of zero ; 6 six,1.0
book me a table for seven people at a bar with a pool,book me a table or seven people that are above a double,book book ; me me ; a a ; table table ; for or ; seven seven ; people people ; at <eps> ; a that ; bar are ; with above ; a a ; pool double,1.0
i want to listen to swing music on iheart,i want to listen to swing music on i heart,i i ; want want ; to to ; listen listen ; to to ; swing swing ; music music ; on on ; <eps> i ; iheart heart,1.0
rate this essay a two,rape this s a i too,rate rape ; this this ; essay s ; a a ; <eps> i ; two too,1.0
use netflix to play music,use net flicks to play music,use use ; <eps> net ; netflix flicks ; to to ; play play ; music music,1.0
what will the weather be like 19 minutes from now in nepal,what will the weather like nineteen minutes from now in the pool,what what ; will will ; the the ; weather weather ; be <eps> ; like like ; 19 nineteen ; minutes minutes ; from from ; now now ; in in ; <eps> the ; nepal pool,1.0
include laarni lozada on endorphin rush playlist,include learning <unk> on endorphin rush play list,include include ; laarni learning ; lozada <unk> ; on on ; endorphin endorphin ; rush rush ; <eps> play ; playlist list,1.0
make a reservation for 9 at a brasserie with parking,make a reservation for nine out of breath through with parking,make make ; a a ; reservation reservation ; for for ; <eps> nine ; 9 out ; at of ; a breath ; brasserie through ; with with ; parking parking,1.0
add my track to old school metal playlist,at my track too old school metal play list,add at ; my my ; track track ; to too ; old old ; school school ; metal metal ; <eps> play ; playlist list,1.0
what are the movie schedules for movies around here,most of the movie <unk> movies around here,what most ; are of ; the the ; movie movie ; schedules <eps> ; for <unk> ; movies movies ; around around ; here here,1.0
what s the weather forecast for moss hill,what is the weather forecast from us hill,what what ; s is ; the the ; weather weather ; forecast forecast ; for from ; moss us ; hill hill,1.0
what will the weather be like not far from alabama on may 9  2037,what will the weather will be like not far from alabama on may ninth twenty thirty seven,what what ; will will ; the the ; weather weather ; <eps> will ; be be ; like like ; not not ; far far ; from from ; alabama alabama ; on on ; may may ; <eps> ninth ; <eps> twenty ; 9 thirty ; 2037 seven,1.0
play takes place in your work space by eddie kendricks,play takes place <unk>,play play ; takes takes ; place place ; in <eps> ; your <eps> ; work <eps> ; space <eps> ; by <eps> ; eddie <eps> ; kendricks <unk>,1.0
ethiopia ellenton has snow weather at eight pm,easy i parents and has snowy weather is eight pm,<eps> easy ; <eps> i ; ethiopia parents ; ellenton and ; has has ; snow snowy ; weather weather ; at is ; eight eight ; pm pm,1.0
find jono and ben,find john doe and ben,find find ; <eps> john ; jono doe ; and and ; ben ben,1.0
play top-twenty song from 2015,they do  n't trendy song from twenty fifteen,<eps> they ; <eps> do ; play n't ; top-twenty trendy ; song song ; from from ; <eps> twenty ; 2015 fifteen,1.0
